Time (days), Pressure (MPa), Temperature (K)
3.058485370488937747e+02,1.515476472290171017e+01,3.180074573362749106e+02
3.080482484222080188e+02,1.552201411256094588e+01,3.191349773922462418e+02
3.080482484222080188e+02,1.644805448153116600e+01,3.219780837882074707e+02
3.086714999779803748e+02,1.594425638058164196e+01,3.204313352326606719e+02
3.119197404392410249e+02,1.548543096872616509e+01,3.190226607225780526e+02
3.128876134434993332e+02,1.653319064152134743e+01,3.222394667355457045e+02
3.134155441730947587e+02,1.605338664001332916e+01,3.207663842747754757e+02
3.158792209112066871e+02,1.538872668928693699e+01,3.187257616190365752e+02
3.165328494335629443e+02,1.482053334235138209e+01,3.169813083609010960e+02
3.174630130999929065e+02,1.426570925063784046e+01,3.152779010617805966e+02
3.182549091943860731e+02,1.383002007768046049e+01,3.139402588641044076e+02
3.188268341514477697e+02,1.345464110050238205e+01,3.127877795482067995e+02
3.191347937437117821e+02,1.305534601120492511e+01,3.115618735722935639e+02
3.197067187007734219e+02,1.270076365326108991e+01,3.104732435259747945e+02
3.201026667479699768e+02,1.229730924011678539e+01,3.092345676961458025e+02
3.208945628423631433e+02,1.191829085457271553e+01,3.080709147580719218e+02
3.214664877994248400e+02,1.155564980667561059e+01,3.069575431197913531e+02
3.217744473916888523e+02,1.116181382992714255e+01,3.057483975771425548e+02
3.223463723487504922e+02,1.083816644309424326e+01,3.047547433193222446e+02
3.238233214136900529e+02,1.044210225714210694e+01,3.035387567835042546e+02
3.251745726858687817e+02,9.684288306974332627e+00,3.012121350066733498e+02
3.254699624988567166e+02,1.010898498119361477e+01,3.025160283047150074e+02
3.294482976397364382e+02,1.056019734493655626e+01,3.039013294214696543e+02
3.299573737004176905e+02,9.851626818169863853e+00,3.017258935936771991e+02
3.300013679278840186e+02,1.017293458533891126e+01,3.027123648086698608e+02
3.334182529277654226e+02,9.473388305847077362e+00,3.005646350032124587e+02
3.384042653739443836e+02,9.471615866707795206e+00,3.005591933041006314e+02
3.430036618817832164e+02,9.582925044654707847e+00,3.009009320083235934e+02
3.449234099894028986e+02,1.008487980889938029e+01,3.024420211967940872e+02
3.481123249015045076e+02,9.627320425000533533e+00,3.010372336146485281e+02
3.503376995741740529e+02,1.012926168494700185e+01,3.025782813425543623e+02
3.528909359896280762e+02,9.519623646823205831e+00,3.007065856114725193e+02
3.566818671485734740e+02,9.597104557768963318e+00,3.009444656012182691e+02
3.589461854293556939e+02,1.017797376615336091e+01,3.027278359778370600e+02
3.602254021972215128e+02,1.074068229043373179e+01,3.044554498681715131e+02
3.614698103455535829e+02,1.118409592196383251e+01,3.058168075088341311e+02
3.621611482057380158e+02,1.146707849082977404e+01,3.066856136413172749e+02
3.629677090426199015e+02,1.184875215900821743e+01,3.078574187629177459e+02
3.641408884417208469e+02,1.223803887529919443e+01,3.090525972778461892e+02
3.648008018537150861e+02,1.264357295036692364e+01,3.102976580346330593e+02
3.652407441283779690e+02,1.303350956100897129e+01,3.114948318392358146e+02
